review,stars
"Compra promovida parcialmente por el, inicialmente el chico del juego tenía dificultades para reconocer los cables (siendo estos no originales) pero finalmente después de un ligero mantenimiento que hicieron su deber de cargar con precisión.Recomendado para aquellos como yo que quería repasar en el chico del juego que tenía creciendo, incluso sólo por curiosidad para intentarlo de nuevo.Promovido: 6/10",3
"Tengo esto como una segunda base para conectar a la sala de estar TV (base original está en mi dormitorio). Hay un retraso en el cambio de televisores, eso no sucede con la base OEM. Funciona bien con juegos como Tetris. Sin embargo, si eres un jugador que cruza animales como yo, las imágenes son extremadamente entrecortadas. Es hasta el punto en que te duele los ojos. Reinicié el conmutador y el televisor, además de cables desenchufados y reenchufados, con el mismo efecto. Aún no lo he probado con otros juegos gráficos, como Mortal Kombat 11. Agregué mi propio cable para cargarlo (ya que este es solo el dock, y no incluye el cargador). Utiliza un cable USB-C. No está mal, pero no es un reemplazo para el muelle original.",3
"Por lo tanto, es un producto muy útil, para aquellos que quieren proteger la consola de arañazos y golpes a pequeña escala.Viene en dos piezas: una para deslizarse en la pantalla superior; la otra para deslizarse en la parte con panel táctil y botón.La protección cubre toda la consola bastante bien, dejando libre toda la zona en la que se pliega la pantalla (donde se encuentra la cámara frontal.El único problema, si queremos definirlo así, es que no se calcla a cepillo.Para la parte inferior, nada que decir; mientras que para la parte superior, la protección resulta ser como una manta: si tiras hacia un lado, acortas el otro.Pero, al final de las cuentas, está 90% protegido, teniendo en cuenta las partes que permanecen descubiertas por razones obvias.Recomiendo comprarlo junto con la consola, para aquellos que, como yo, no quieren encontrarlo lleno de arañazos.PDSi usted tiene una consola negro y azul, aconsejo en contra, por una cuestión de estética, la compra de la protección azul, que podría ser molesto. Pero es solo un consejo.",3
"Se siente muy incómodo en mi 2DS. La tira de goma se cuelga en la segunda pantalla inferior. Simplemente no es el mejor diseño. Puedo comprar un estuche duro en su lugar. No estoy seguro si voy a seguir tolerando las pequeñas molestias del protector de silicio. No hay suficiente espacio en el recorte que rodea los botones A, B, X, Y. La conclusión es que esto fue diseñado rápidamente y sin mucho pensamiento. No recomendaría este producto. También bloquea las luces del 3DS que le muestran si la alimentación está encendida o si hay una batería baja. Las luces están completamente cubiertas con la cubierta de silicona. No puede ver ninguna de las 3 luces que se encuentran al lado del botón de encendido. Si no tiene otra opción de casos de productos de recambio, entonces es mejor que nada. Es lo único bueno que puedo decir.",3
No encaja muy bien.,3
No se queda bien,3
"Serviciobuen empaque, pero mi producto vino con el plastico cortado con navaja y parece reempacado, sé que no lo vendío amazon, pero como era un regalo se prefirio regresarlo, ademas que el producto venía sucio de polvo de la parte de arriba.ProductoEl producto es bueno, pero no para su precio, tengo bastantes audífonos no gaming y pensé que por lo menos este sonaría bastante decente y no, el dac tiene poca potencia, no me gusta el hecho de que apenas llega a cierrto volumen, no escucho la música a niveles altos, pero hay juegos que tienen el volumen bajo, por eso busco un volumen alto, bastantes accesorios pero que sólo le sacaras partido si no requieres del dac incluido, el material es bueno, pero a la larga se ensuciará por su naturaleza.",3
"Soy bastante exigente en cuestión de audio y por lo menos esperaba un poco más por parte de Razer en este tipo de periféricos, no son la gran cosa al menos por el precio que los compré ($2k), si lo consiguen más barato seguramente valdrá la pena para muchos.El gel de enfriamiento a veces se nota y otras veces no, el software de Razer Synapse el cual es requerido para que este headset llegue a su máximo potencial o bien funciona o es una pesadilla total.Algo que debo reconocer de este headset es el control de volumen en diferentes tareas que quieras y cambiarlo con el controlador que tienen los audífonos, antes tenía que hacerlo manualmente en Windows, pero ahora con el headset puedo tener lo que estoy jugando a bajo volumen y el chat a alto volumen y cambiarlo cuando quiera con el controlador, estoy encantado con esta función.Otra cosa, quizá quedes decepcionado por la calidad de audio como yo, prueba estos niveles en el Ecualizador de Razer Synapse y activa el THX desde el controlador. Los números que daré a continuación van de izquierda a derecha en los niveles del ecualizador:4 4 8 0 -6 -3 3 -6 8 8Así al menos tendrás un audio decente en videojuegos y música, para chat este tipo de audio no lo recomiendo, pero eso ya lo decidirán ustedes.TLDR; me iría por otro headset más caro.Espero y haya sido de ayuda, saludos.",3
"-El envió llegó rápido, se estimaba que iba llegar en 4 días pero llegó en 2.-El servicio al cliente fue bueno, me contacte con ellos para obtener una factura y me la dieron rápido.-Por lo que estás pagando tienes unos audífonos muy buenos pero no de la mejor calidad.-No tiene botón para silenciar micrófono.-No aísla lo suficiente quizás por la forma de los auriculares, pero aún así tienes un buen sonido por el precio que estás pagando-El micrófono está bien pero no es de la mejor calidad.-Te pueden servir para clases en línea, el micrófono es entendible y puedes escuchar bien, pero después de 2 hrs si se pueden volver un poco incómodos por la forma de los auriculares.Yo los devolví por que no tenía la opción de reemplazarlos ya que los compré en oferta. Desde el primer día que me los entregaron venía defectuoso el micrófono y se podía romper fácilmente, pero aún así los pobre por 4 días y nunca me fallo el micrófono pero tenía el miedo de que me dejaran de funciona después de tiempo, por lo que procedí por un reembolso y me lo dieron 3 días después de haber devuelto el producto. Si tienes problemas con tus auriculares no dudes en contactarte con los vendedores, son atentos por lo que me paso. Adjunto foto de cómo venia el micrófono safado",3
"Me parece que si bien es de buena calidad en cuanto a construcción y materiales, la presentación esta bien cuidada, la sensación que te da al accionarla es mala, es difícil realmente describirlo con palabras, ya que tienes que sentirla y accionarla para que me puedas entender, es demasiado blanda, se parece muy poco a la sensación de un auto real, les recomiendo adquirir por separado un mod para mejorar este aspecto, ya que el cambio en la sensación es muy grande, la pueden encontrar como ""adaptador pad"" para palanca de cambios logitech",3
"El control está bien, pero nada más. Es muy ligero y cuando le pones el teléfono en el soporte que trae se siente un poco frágil. La calidad en general está bien, pero se siente económico, los botones responden bien pero tienen esa sensación de tener un producto de calidad básica en las manos. Lo que no me gustó es que tarda muchísimo en conectarse en mi Moto G6 Play, la primera vez no tuve problema pero las siguientes ha sido un problema que se vuelva a conectar, a lo mejor es solamente en mi teléfono pero me ha resultado muy molesto.Ya una vez conectado también me cuesta trabajo que lo reconozca el emulador Snes9x, aunque el control ya esté empatado con el teléfono y lo pueda usar en las pantallas de Android el emulador no lo reconoce y tengo que volver a desconectarlo, volverlo a conectar y esperar que ahora sí lo reconozca.Trae un instructivo donde indica que puede encenderse en 3 modos diferentes de control, uno de esos, ya no recuerdo cual, sí funciona con el emulador, siempre y cuando logres hacer que se conecte al celular.A lo mejor solo es mi desconocimiento del emulador, pero para mí no merece las 5 estrellas.",3
"El volante es muy bueno, pero salió defectuoso ya que tiene una semana que me llegó pero no había podido utilizarlo mucho hasta esta semana y al segundo día de uso comenzó a hacer unos ruidos al girar el volante y más cuando lo giro hacia la izquierda, rechina muy fuerte, tiene unos detalles de pintura en el volante y en los pedales venía con unas letras, no sé si me mandaron uno seminuevo o refurbished.",3
"Todo es genial, tiene 20 minutos que lo recibí, lo conecté a la PC y la tristeza fue que al mover la cabeza por inercia se mueve todo el cable y en la conexión del cable con el plug tiene un falso contacto que hace un ruido desagradable, hice una llamada para saber si solo yo lo escuchaba pero mi interlocutor también lo escuchó entonces lo cambié al celular y el problema fue el mismo apenas lo tocas con el dedo justo en la base del plug y el ruido molesto se escucha.",3
"Tenía mis dudas por el precio (700 pesos aprox) pero estaba bien calificado, así que decidí arriesgarme.En cuanto llegó el paquete se me hizo muy sospechoso porque la caja se sentía chafa y una revisada rápida en la impresión del empaque eliminó cualquier duda: es un control CLON (BOOTLEG, ETC).EL EMPAQUEDesde el empaque puedes notar varias alertas rojas de que se trata de una falsificación (el logo de PlayStation desalineado, errores de redacción, etc.) y al abrirlo para sacar el control se siente como empaque de juguete de feria (el control está hecho sándwich entre una base de plástico moldeado blanca y una transparente). Incluye un instructivo fotocopiado en inglés y francés (?) y un cable micro-usb algo corto (pese que en el empaque dice que no lo trae)EL CONTROLSe puede notar como la serigrafía del botón de ""PS"" es diferente, la línea de luz en el touchpad tiene manchas raras y los botones de 'share' y 'option' se hunden demasiado. En la parte de atrás la etiqueta tiene partes en ruso (?) y está mal pegada.En cuanto a funcionamiento casi no hay diferencia con un control original. La vibración, el touchpad y la batería parecen funcionar bien.Otra prueba de que no es un control original es cuando lo conectas a una PC. Aparece como 'Controller' o 'Wireless controller"" como si se tratara de uno genérico.La verdad es una buena copia, sólo me preocupa que los botones, los joysticks o la batería empiecen a fallar con el tiempo. Hasta ahora aguantó una sesión larga de Dark Souls III sin ningún problema. Haré la actualización si eso pasa. Lo que me parece grave es que Amazon venda cosas piratas haciéndolas pasar por originales.",3
"Me gusta la forma y el hecho de que sea un teclado mecánico pero un poco fuerte (la luz está en el teclado no se puede cambiar, puede ajustar solo el brillo). El ratón no es un gran pedazo de arte, y es fuerte!Es un dolor en el culo que el teclado ya esté preconfigurado y me resulte muy difícil reconfigurar las teclas a través de la aplicación que sugirieron (muchas teclas están ahí solo por un buen aspecto). Los movimientos del ratón no son tan fluidos en comparación con el ratón PC (he intentado una semana para acostumbrarme a él, pero es casi imposible apuntar bien en un shooter en primera o tercera persona).",3
"La idea es genial, pero con mi uno el puerto USB para el ratón era demasiado flojo y dio una señal intermitente por lo que he enviado el artículo de vuelta.",3
Me encanta todo el concepto de la mitad de un teclado es genial no tenía problemas con el teclado o el ratón en sí. Mi único problema es que el software de reasignación no funciona para mí o lo abre. Creo que este producto puede ganar un fácil 5 estrellas si era más fácil de reasignar.,3
un juego para que se entretengan construyendo ciudades y destruirlas con un nuevo modo de tutoriales para que puedan jugarlo sin ningún problema,3
En cuanto al control bueno tiene la misma forma que el control de la PS3 cabe decir que el color que elegí en la imagen Era plateado y me llegó negro Lo único que destacó es que los botones triángulo x cuadrado y círculo no vienen marcados sino que vienen enumerados y de muy mala manera Iniciando el uno en el que iría triángulo 2 en el que iría cuadrado y así sucesivamente. Em por antonomasia sabemos que el botón x es el botón de acción Tendría que haber sido el uno pero bueno es un detalle podría decirse regular. Dones de dirección son algo duros por lo demás el control funciona bien con la excepción de que bueno la pila no le dura tanto Y claro no es que juegue mucho,3
"La calidad es ok, obviamente nunca será igual a la de un control original. Mi mayor problema es que a pesar de que el control tiene los motores de vibración, con ningún juego logré que vibraran. Lo regresaría de no haber sido porque tiré la caja.",3
"En muy poco tiempo, 2semanas de uso aproximado, uno de los botones del mando comenzó a funcionar de manera intermitente,es decir, algunas veces opera bien y en otras no funciona.a",3
Llegó con detalle de mal acabado en la pintura,3
"En primer lugar, permítanme decir que este juego ahora es libre de jugar, y se puede descargar libremente desde Playstation Store para absolutamente nada. Por lo tanto, en realidad lo que está pagando aquí es solo el estado «Legendario» de 30 días (suscripción Premium de IE), que es un buen negocio, teniendo en cuenta que la suscripción premium cuesta $15 al mes (básicamente, está ahorrando 5 dólares de su primer mes).El juego no me atrae demasiado, ya que tiende a ser una fiesta de molienda, que es por lo que los MMORPG SOE son conocidos. SWG, EQ, EQ2 se centraron en la molienda, y DCUO no es diferente.El juego parece bastante grande, sin embargo es sólo dos zonas de aventura principales. Puedes jugar en Gotham o Metropolis, o viajar entre ellos. Las misiones te llevarán a ambas ciudades, aunque utilizo el término «Misiones» a la ligera ya que realmente no hay una historia. Claro, puede que haya alguna vaga historia enterrada bajo la rutina, pero nada que vaya a llegar y agarrarte.Tienes la opción de ser un buen tipo, o un villano, lo cual es único, pero incluso como un tipo malo, todavía te sientes como un buen tipo, ya que las misiones tienden a girar en torno a detener una invasión alienígena y golpear a otros criminales por una razón u otra. ¡Realmente no haces nada malo! Excepto poner bombas en policías... supongo que hay eso. ¡Además, no puedo enfatizar esto lo suficiente! ¡Asegúrate de que estás jugando con un televisor de alta definición! Si no lo eres, entonces la casilla de chat será MUY difícil de leer.",3
"He sido un fan de los cómics de DC desde que era niño y pensé que este juego sería un montón de diversión. El juego es divertido hasta que alcances el nivel 30, entonces tienes que completar estas misiones DUO diariamente con el fin de obtener fichas para mejorar tu armadura, lamentablemente muchas veces estas misiones duales se bloquean (congelar) o la velocidad de fotogramas se ralentiza, haciendo que tu personaje salte sin control, lo que hace que sea imposible terminar el nivel. Si no completas el nivel, no obtienes los tokens para esa misión, y dado que solo puedes obtener los tokens una vez al día, te engañan. Incluso he estado a mitad de una misión cuando derriban todos los servidores para mantenimiento, y tú pierdes de nuevo allí. Además, los DUO no son más fáciles, a medida que se obtiene una mejor armadura, los DUO se hacen más difíciles y a veces se tarda tiempo en hacer cola para un DUO por lo que perder mucho tiempo esperando. Han tenido algunas actualizaciones importantes y menores en el juego desde que salió, pero no veo ninguno de los errores que desaparecen (velocidad de cuadro de salto, DUO misión congelada, etc.). Tengo un módem por cable y obtengo una muy buena velocidad de carga/descarga, pero todavía tengo problemas. También el sistema tiende a estar abajo mucho para el mantenimiento, lo que significa que no puedes jugar y no te dan nada por eso, a pesar de que estás pagando una cuota mensual para jugar el juego. Es una pena porque el juego fue una muy buena idea para los fans de DC, tal vez el juego podría ser mejor en un año más o menos después de muchos de los errores se arreglan con suerte y dejan de traer el juego abajo con tanta frecuencia para el mantenimiento.",3
"No deja jugar porque al principio del juego me equivoque en una obsesión y no se a podido revertir de ninguna manera, por lo tanto no puedo jugar volta",3
"Nuevo y sellado, todo bien por parte de amazon, desafortunadamente la caja esta aplastada, como si le hubieran puesto algo pesado encima o lo hubieran apretado y se escucha que el disco viene suelto. Muy mal por parte de la paqueteria.",3
"Nuevamente falla la logística, soy cliente PRIME y aparte mi edición desde mayo de este año, no puede ser que el envió no me llegue día 1, como estaba especificado, van dos fallos seguidos y una empresa que se dedica a la logística no puede fallar en esos detalles, menos a miembros PRIME, el paquete llego tarde, pero bien, sin detalles.El juego es una obra de arte, mi GOTY personal, lo estoy disfrutando al máximo, una manera digna de cerrar la generación para PS4, muy recomendado, trae unos códigos de regalo.",3
"Esta versión no me gustó tanto, no se me hizo tan dinámica, de hecho me pareció media lenta, y las técnicas para hacer combos son medio complicadas, en lo personal no me gusto tanto pero es cuestión de gustos.",3
"Le doy 3 estrellas porque venia con el disco suelto, nunca me había pasado eso con amazon pero me lo enviaron con FedEx...fuera de eso todo estaba bien, está entretenido el juego , la historia se me hiso algo corta para mi gusto pero está padre y los nuevos gráficos para la saga le da un toque fresco",3
"Tuve éxito en conseguir que esto reconociera un teclado y un mouse y lo hiciera funcionar en mi Nintendo Switch, pero lamentablemente no funciona si el teclado y el mouse están en un concentrador o un KVM. Esto significa que necesitarás tener un teclado y un ratón dedicados para usarlo con este dispositivo o desconectar físicamente y volver a enchufar todo cuando quieras usarlo aquí o en tu PC. Esperaba poder usar mi KVM para poder cambiar entre ellos con un solo clic, pero sin dados.",3
"Este juego esta aburridisimo. En si la trama si se me hace interesante, pero la jugabilidad es un desastre y muy repetitiva. De gráficos es un asco comparados con otros estudios que se pulen con el diseño de sus personajes. Me deje llevar por el hype , en especial porque me encanta Marvel. Pero fue una decepción. Ahorren su dinero o esperen a que esté en oferta, porque no vale la pena pagar este precio.",3
"El juego es bueno a medias la campaña es corta pero entretiene, el multijugador es repetitivo y lamentablemente subri de varios bugs en audio y jugables",3
"El juego es bastante promedio.Las dinámicas de juego son muy similares a las de versiones pasadas. Lo único interesante es el Volta; pero fuera de ello, todo sigue estando casi igual (aparte de la actualización de plantillas y uniformes que evidentemente es la principal razón por la que se compran los juegos).",3
"En primera quisiera comentar que la entrega tardo demasiado, 15 dias a pesar de ser PRIME, muy mal por parte de FEDEX.El juego en cuestion es distinto, hay varios cambios que en lo personal no me gustaron, es casi imposible meter goles de cabeza, el juego te obliga a jugar solamente con los pies, es muy facil dejar a los jugadores solos contra el portero, el juego se siente mas rapido, y no se disfruta como el 2019.Solo lo compre por que estaba en $399.00, de lo contrario jamas lo hubiera comprado a precio normal.Y finalmente el disco venia suelto dentro de su caja, otro punto en contra para amazon.",3
"Para empezar mi producto llegó en una caja que parecía haber sido abierto anteriormente y vuelto a cerrar. En cuanto a el producto, las palancas funcionan bien y como deberían pero tuve un problema que otras personas también han tenido, mis audífonos 3.5mm no parecían funcionar, era como si no estuvieran conectados. Averigüe un poco más antes de devolverlos y encontré que un modelo no era compatible con La entrada 3.5mm pero no quedaba claro ya que el modelo no coincidía con el strikepack, hasta que encontré que el modelo del que hablaban era del control y no del aparato en sí. Los controles del PlayStation tienen dos modelos o “generaciones” y el audio solo funciona de manera alambrica en los controles de 2da generación o modelo “CUH-ZCT2U”, puedes saber que modelo tienes leyendo la etiqueta en la parte trasera. Yo por suerte tenía uno de 2nda generación y pude comprobar que solo con ese funciona. (Si tienes audífonos inalámbricos o conectados por USB creo que si funcionan sin problema). Entonces si estás pensando en comprar el producto, primero revisa el modelo de tu control y si usas audífonos con conexión 3.5mm, necesitas que el control sea Segunda generación. El modelo del control de primera generación que no funcionan con este accesorio es CUH-ZCT1U. Ojalá esto se explicará en la publicación, me hubiera ahorrado mucho tiempo de pelearme con el aparato pensando que estaba defectuoso",3
"Me gustó mucho el concepto del producto, es muy practicó, de buen tamaño, la relación calidad precio me parece adecuada sin embargo lo manipuló con mucho cuidado porqué me parece muy frágil.",3
"Le pongo 3 estrellas debido a que me llegó defectuoso, al no poder usarse con juegos de ps4 en el ps5 y que hace demasiado ruido al vibrar con el juego astro bot. El control que venía con la consola funciona de maravilla, tanto para juegos de ps4 como con la vibración. Llamé a servicio al cliente de sony, y tendré que llevarlo a un centro de servicio, una lástima para un control tan increíble.",3
"La historia y el modo de juego es excelente, pero tiene muchos errores. Seguro se corregirán en su momento, pero fueron muchas fallas para un juego moderno.",3
"La historia es muy buena y el jugar con Miles realmente vale la pena, y el uso de la base del juego anterior le da muchos puntos pero hasta ahí. Me tocaron muuuchos bugs y glitches durante la partida (algunos muy chistosos, otros que tuve que reiniciar misiones), el uso del dualsense no se siente, el raytracing a mi me causo a veces una leve variación del framerate por lo que lo jugué en modo performance (estos 60fps si se mantuvieron constantes y se sentían de maravilla).Solo si eres muy fan cómpratelo para PS5 sino mejor cómprenlo para PS4 es mas barato y tiene la actualización para el PS5. O espérense a que baje de precio",3
"Esta muy bonita la funda, aunque en mi caso no le quedo exactamente a la medida esta ligeramente desfasada en los botones de volumen pero se puede ensamblar aunque es molesto porque a veces se llega a mover el volumen por la presion ejercida por la funda. Pero definitivamente es funcional.",3
" Buenos pero nada más, el sonido es de calidad aceptable y se percibe muy bien el 3D audio.Haré una comparativa con la versión anterior (los gold) con los que muchos ya estamos familiarizados para que se den una idea mas precisa de cómo se escuchan.Suenan muy similar a la versión anterior aunque si que mejoran un poco el sonido, también las almohadillas son más acolchadas y cómodas así como la diadema ajustable de silicona que además se siente resistente.Contras: el tamaño tan alto de la diadema rígida y el peso (ej. Jugar recostado no es cómodo) las orejeras no son ajustables además no cuentan con cancelación de ruido, por el precio ya deberían tener esta característica.Resumen: mejoran un poco pero tampoco esperen un gran cambio, en comodidad también mejoran.Ahora este modelo viene simplemente a reemplazar a los gold.",3
"Estos audífonos me han decepcionado, ya que por el rango de precio esperaba una calidad de sonido Superior, La promesa de Sony de ofrecer un sonido de primer nivel con estos audífonos sólo fue pura mercadotecnia y el punto de venta de estos es que supuestamente son especiales para el Playstation 5 por el efecto de posicionamiento 3D en los auriculares, efecto que puedes obtener con cualquier otro adifonos que conectes directamente al control.Hablando concisamente del sonido este queda a deber esté no cuenta con graves profundos por lo que no se puede sentir la música por ejemplo en el juego de Spiderman o en aquellos momentos de tensión cómo es demon's souls, en cuanto los sonidos agudos está bien te ayuda identificar bien los pequeños pasos el sonido de las fechas, pero este efecto lo puedes tener con cualquier otro auricular, Como ya comenté de hecho a mí me resultó más envolvente el sonido con mis corsair hs50 pro y con mis hyperx cloud alpha, audífonos los cuales cuestan menos y tienen mucho mejor sonido qué es lo que muchos buscamos para tener una experiencia inmersiva en el juego.Los materiales de construcción de los audífonos son de mediana calidad tirando a buena, otra vez algo que decepciona de acuerdo al rango de precio que estamos hablando.Lo que sí debo destacar es la comunidad de los auriculares en cuanto al soporte que va encima de tu cabeza el cual se adapta ergonómicamente a la forma de tu cabeza, lo que lo hace muy cómodo en ese punto en cuanto al punto de las almohadillas que van en las orejas estas son algo pequeñas así que si tienes orejas grandes te las aplastará inevitablemente.Puedes encontrar una mejor calidad de sonido con unos corsair hs50 pro los cuales cuestan menos de la mitad que cuestan estos audífonos.Si quieres unos audífonos que hagan juego con tu consola adelante pero si lo que buscas es una experiencia inmersiva y una mejor calidad de sonido busca en otro lado ya que estos te decepcionaran.",3
"se sienten un poco frágiles, el plástico no es muy bueno y el cable es algo delgado, funcionan como deben, por el precio no se puede exigir demasiado",3
Lo compre para mi sobrino y según él esta mucho mejor el Lego Batman 2; pero para pasar unas horas de entretenimiento esta bien.,3
"No vienen los tres juegos. Vienen dos juegos en el ""cartucho"" y el otro es para descargar desde la play store. PERO no sirve el link de descarga, porque el papel donde viene impreso indica que ya no es válido, se caducó en el 2016 sino me equivoco",3
"El 3 ya no hay manera de descargarlo (cuesta alrededor de 10 dlls por si quieren adquirirlo). Una lástima, no deberían tener caducidad esos códigos, ni hablando a Sony te ayudan.",3
"Sí recibí producto, pero 9f en lugar de tener 3 juegos en 1. He recibido sólo 2 porque el código de descarga para el tercer juego había caducado. No pagues el precio completo por este título. Marzo 2020",3
"Por lo que costó está bien, muy sencillo derrepente se cae el voltaje del cargador, hasta el momento me ha servido",3
"Regrese este producto, pero dejo mi reseña, es un producto pesado, lo compre para el Home Office y la verdad que no lo aguante en una junta de 1 hora, el sonido y microfono son muy buenos, las esponjas son comodas pero en realidad son muy toscos para mi opinión.",3
"Cumple su funcion, pero siento que dura lo mismo que mi vieja bateria de 1200 mAh",3
"Cumple bien su función de cargar 2 controles a la vez, pero tengan en cuenta que se conecta por USB, es decir a tu PS4, que en parte siento pierde un poco su propósito de tener una base cargadora para no tener que utilizar los USB del PS4. Si tienes un cargador de pared USB puedes saltar este inconveniente, pero como otros han mencionado, el cable incluido es muy corto y esta pensado para la pequeña distancia entre tu PS4 y la base. Los Leds tampoco indican la carga, son realmente un adorno, se encienden todo el tiempo que la base esta recibiendo energía.",3
"El producto cumple en cargar, sin embargo creo el diseño no es del todo bueno. Resulta algo complicado colocar el control en el enchufe y por la posición, no se si a la larga el peso del control termine afectando el enchufe.Otra cosa, el cable que trae para conectar a la luz es ridículamente pequeño. Ten en cuenta que tendrás que usar otro cable para poder conectarlo.",3
